======================================================================
 harness:  cp_harness/dataset_livecodebench
[          ok] countCompleteSubarrays_885a04/sol_0.py
[          ok] countCompleteSubarrays_88a0dd/sol_0.py
[          ok] countCompleteSubarrays_b45a4d/sol_0.py
[          ok] countCompleteSubarrays_e3c7ed/sol_0.py
[          ok] countInterestingSubarrays_2ad7e4/sol_0.py
[          ok] countInterestingSubarrays_5511e8/sol_0.py
[          ok] countInterestingSubarrays_5cf126/sol_0.py
[          ok] countInterestingSubarrays_9af8bd/sol_0.py
[          ok] countInterestingSubarrays_c42e7e/sol_0.py
[          ok] countInterestingSubarrays_c5f1fc/sol_0.py
[          ok] countPairs_1ba388/sol_0.py
[          ok] countPairs_66bef6/sol_0.py
[          ok] countPairs_85a82e/sol_0.py
[          ok] countPairs_85df6c/sol_0.py
[          ok] countPairs_8aeecf/sol_0.py
[          ok] countPairs_90e544/sol_0.py
[          ok] countPairs_b0b03c/sol_0.py
[          ok] countPairs_d18f77/sol_0.py
[          ok] countSeniors_167537/sol_0.py
[          ok] countSeniors_54ff3e/sol_0.py
[          ok] countSeniors_63beb5/sol_0.py
[          ok] countSeniors_645a4b/sol_0.py
[          ok] countSeniors_789bc6/sol_0.py
[          ok] countSeniors_acb6be/sol_0.py
[convert_fail] countSubMultisets_2cdb57/sol_0.py  -- Unsupported syntax category for Subscript node
[          ok] countWays_64d8a3/sol_0.py
[          ok] countWays_8784ed/sol_0.py
[          ok] countWays_902803/sol_0.py
[          ok] countWays_ac7cfb/sol_0.py
[          ok] countWays_d883ba/sol_0.py
[          ok] countWays_f3f2b3/sol_0.py
[          ok] differenceOfSums_158faf/sol_0.py
[          ok] differenceOfSums_791ae9/sol_0.py
[          ok] differenceOfSums_b51db8/sol_0.py
[          ok] distanceTraveled_0e5d9f/sol_0.py
[          ok] distanceTraveled_282507/sol_0.py
[          ok] distanceTraveled_98ba0d/sol_0.py
[          ok] distanceTraveled_cb63e5/sol_0.py
[          ok] distanceTraveled_ccf48c/sol_0.py
[          ok] distanceTraveled_d9d36c/sol_0.py
[          ok] distinctDifferenceArray_10ec60/sol_0.py
[          ok] distinctDifferenceArray_5da79d/sol_0.py
[          ok] distinctDifferenceArray_842c5e/sol_0.py
[          ok] distinctDifferenceArray_904812/sol_0.py
[          ok] distinctDifferenceArray_9650a2/sol_0.py
[          ok] distinctDifferenceArray_f8d446/sol_0.py
[          ok] distributeCandies_31aeb0/sol_0.py
[          ok] distributeCandies_44f460/sol_0.py
[          ok] distributeCandies_8d274f/sol_0.py
[          ok] distributeCandies_9e0c3a/sol_0.py
[          ok] distributeCandies_a236c7/sol_0.py
[          ok] distributeCandies_f9c6be/sol_0.py
[          ok] doesValidArrayExist_46c2ea/sol_0.py
[          ok] doesValidArrayExist_75233a/sol_0.py
[          ok] doesValidArrayExist_9371ef/sol_0.py
[          ok] doesValidArrayExist_956d60/sol_0.py
[          ok] doesValidArrayExist_ba1a0b/sol_0.py
[          ok] doesValidArrayExist_da91d7/sol_0.py
[          ok] finalString_0ce303/sol_0.py
[          ok] finalString_17f411/sol_0.py
[          ok] finalString_4ecd27/sol_0.py
[          ok] finalString_70c2f4/sol_0.py
[          ok] finalString_7bd00b/sol_0.py
[          ok] finalString_8af8e8/sol_0.py
[          ok] findChampion_47bc71/sol_0.py
[          ok] findChampion_66d60c/sol_0.py
[          ok] findChampion_6da5fa/sol_0.py
[          ok] findChampion_8b50f4/sol_0.py
[          ok] findChampion_c9dbbc/sol_0.py
[          ok] findChampion_ed47eb/sol_0.py
[          ok] findMaximumLength_e94af9/sol_0.py
[          ok] findMinimumOperations_1a08e1/sol_0.py
[          ok] findMinimumOperations_2a647f/sol_0.py
[          ok] findMinimumOperations_2c658f/sol_0.py
[          ok] findMinimumOperations_9f642c/sol_0.py
[          ok] findMinimumOperations_bf6674/sol_0.py
[          ok] findMinimumOperations_cf9e3e/sol_0.py
[          ok] findValueOfPartition_0e5e2c/sol_0.py
[          ok] findValueOfPartition_137e7c/sol_0.py
[          ok] findValueOfPartition_bd628f/sol_0.py
[          ok] findValueOfPartition_c1d40d/sol_0.py
[          ok] findValueOfPartition_cdeabc/sol_0.py
[          ok] findValueOfPartition_ef48b7/sol_0.py
[          ok] findWordsContaining_22bbab/sol_0.py
[          ok] findWordsContaining_5cb2b2/sol_0.py
[          ok] findWordsContaining_9747ce/sol_0.py
[          ok] findWordsContaining_a8ed84/sol_0.py
[          ok] findWordsContaining_bae660/sol_0.py
[          ok] furthestDistanceFromOrigin_2a3cf3/sol_0.py
[          ok] furthestDistanceFromOrigin_6a2f08/sol_0.py
[          ok] furthestDistanceFromOrigin_914868/sol_0.py
[          ok] furthestDistanceFromOrigin_95983c/sol_0.py
[          ok] furthestDistanceFromOrigin_cdc63e/sol_0.py
[          ok] furthestDistanceFromOrigin_ff1f9f/sol_0.py
[          ok] isAcronym_1677a2/sol_0.py
[          ok] isAcronym_2e8b12/sol_0.py
[          ok] isAcronym_4da9cf/sol_0.py
[          ok] isAcronym_824daa/sol_0.py
[          ok] isAcronym_a08ed3/sol_0.py
[          ok] isAcronym_f8d53b/sol_0.py
[          ok] isFascinating_1fae3c/sol_0.py
[          ok] isFascinating_411ad1/sol_0.py
[          ok] isFascinating_5546e4/sol_0.py
[          ok] isFascinating_654633/sol_0.py
[          ok] isFascinating_68a367/sol_0.py
[          ok] isFascinating_eb84cf/sol_0.py
[          ok] isGood_090c47/sol_0.py
[          ok] isGood_4389d2/sol_0.py
[          ok] isGood_9f610c/sol_0.py
[          ok] isGood_a3dd47/sol_0.py
[          ok] isGood_e60e93/sol_0.py
[          ok] isGood_f46fd2/sol_0.py
[          ok] lastVisitedIntegers_14d048/sol_0.py
[          ok] lastVisitedIntegers_4f2d90/sol_0.py
[          ok] lastVisitedIntegers_82e666/sol_0.py
[          ok] lastVisitedIntegers_a8e14b/sol_0.py
[          ok] lastVisitedIntegers_c89fa7/sol_0.py
[          ok] lastVisitedIntegers_ff93b6/sol_0.py
[          ok] lengthOfLongestSubsequence_9445cc/sol_0.py
[          ok] lengthOfLongestSubsequence_9a8eb5/sol_0.py
[          ok] lengthOfLongestSubsequence_9c6938/sol_0.py
[          ok] lengthOfLongestSubsequence_aa08f5/sol_0.py
[          ok] lengthOfLongestSubsequence_bc17e7/sol_0.py
[          ok] lengthOfLongestSubsequence_bca3a5/sol_0.py
[          ok] lexicographicallySmallestArray_08ebd5/sol_0.py
[          ok] longestAlternatingSubarray_58379b/sol_0.py
[          ok] longestAlternatingSubarray_71a505/sol_0.py
[          ok] longestAlternatingSubarray_92cb2b/sol_0.py
[          ok] longestAlternatingSubarray_ed28f0/sol_0.py
[          ok] longestAlternatingSubarray_f33a44/sol_0.py
[          ok] longestAlternatingSubarray_f49605/sol_0.py
[          ok] longestEqualSubarray_386350/sol_0.py
[          ok] longestEqualSubarray_67dd09/sol_0.py
[          ok] longestEqualSubarray_a493b6/sol_0.py
[          ok] longestEqualSubarray_de84a4/sol_0.py
[          ok] longestEqualSubarray_fbbe63/sol_0.py
[          ok] longestSemiRepetitiveSubstring_142189/sol_0.py
[          ok] longestSemiRepetitiveSubstring_3d4f19/sol_0.py
[          ok] longestSemiRepetitiveSubstring_598f21/sol_0.py
[          ok] longestSemiRepetitiveSubstring_87939d/sol_0.py
[          ok] longestSemiRepetitiveSubstring_a54d00/sol_0.py
[          ok] longestSemiRepetitiveSubstring_c34e05/sol_0.py
[          ok] longestString_317dbb/sol_0.py
[          ok] longestString_835c1f/sol_0.py
[          ok] longestString_cec6c5/sol_0.py
[          ok] makeSmallestPalindrome_0ce500/sol_0.py
[          ok] makeSmallestPalindrome_1dea3c/sol_0.py
[          ok] makeSmallestPalindrome_4aef93/sol_0.py
[          ok] makeSmallestPalindrome_9ea827/sol_0.py
[          ok] makeSmallestPalindrome_a6bb74/sol_0.py
[          ok] makeSmallestPalindrome_c30d79/sol_0.py
[          ok] makeTheIntegerZero_15c2c0/sol_0.py
[          ok] makeTheIntegerZero_5e5632/sol_0.py
[          ok] makeTheIntegerZero_61a32e/sol_0.py
[          ok] makeTheIntegerZero_995de5/sol_0.py
[          ok] makeTheIntegerZero_c5f8a6/sol_0.py
[          ok] makeTheIntegerZero_d432b9/sol_0.py
[          ok] matrixSum_11da7c/sol_0.py
[          ok] matrixSum_3f5244/sol_0.py
[          ok] matrixSum_52edb0/sol_0.py
[          ok] matrixSum_5c74ae/sol_0.py
[          ok] matrixSum_5fa873/sol_0.py
[          ok] matrixSum_dfd7bf/sol_0.py
[          ok] maxIncreasingGroups_35cacb/sol_0.py
[          ok] maxIncreasingGroups_5008d1/sol_0.py
[          ok] maxIncreasingGroups_60e48c/sol_0.py
[          ok] maxIncreasingGroups_642bf1/sol_0.py
[          ok] maxIncreasingGroups_bc5dec/sol_0.py
[          ok] maxNonDecreasingLength_0bf0d1/sol_0.py
[          ok] maxNonDecreasingLength_2f6b0b/sol_0.py
[          ok] maxStrength_04679e/sol_0.py
[          ok] maxStrength_12ceac/sol_0.py
[          ok] maxSubarrays_36c8d0/sol_0.py
[          ok] maxSubarrays_4c904b/sol_0.py
[          ok] maxSubarrays_5d899f/sol_0.py
[          ok] maxSubarrays_87e2a8/sol_0.py
[          ok] maxSubarrays_ab4743/sol_0.py
[          ok] maxSubarrays_b0f1b9/sol_0.py
[          ok] maxSum_15f1f1/sol_0.py
[          ok] maxSum_261ab3/sol_0.py
[          ok] maxSum_3f17a3/sol_0.py
[          ok] maxSum_5e1817/sol_0.py
[          ok] maxSum_75e8bc/sol_0.py
[          ok] maxSum_7b0b28/sol_0.py
[          ok] maxSum_953492/sol_0.py
[          ok] maxSum_9f51f9/sol_0.py
[          ok] maxSum_aef3dd/sol_0.py
[          ok] maxSum_b2a9bc/sol_0.py
[          ok] maxSum_c0d5c1/sol_0.py
[          ok] maxSum_eb2f59/sol_0.py
[          ok] maximizeTheProfit_4d1d43/sol_0.py
[          ok] maximizeTheProfit_7834e4/sol_0.py
[          ok] maximizeTheProfit_8395cc/sol_0.py
[          ok] maximizeTheProfit_e611e7/sol_0.py
[          ok] maximizeTheProfit_ea510f/sol_0.py
[          ok] maximizeTheProfit_f700a1/sol_0.py
[          ok] maximumBeauty_2e7071/sol_0.py
[          ok] maximumBeauty_37c2cf/sol_0.py
[          ok] maximumBeauty_43d94e/sol_0.py
[          ok] maximumBeauty_f2bd91/sol_0.py
[          ok] maximumBeauty_f7ec87/sol_0.py
[          ok] maximumBeauty_fbb860/sol_0.py
[          ok] maximumJumps_2b3626/sol_0.py
[          ok] maximumJumps_457f45/sol_0.py
[          ok] maximumJumps_5ed7e2/sol_0.py
[          ok] maximumJumps_9c4820/sol_0.py
[          ok] maximumJumps_bde522/sol_0.py
[          ok] maximumJumps_e988d8/sol_0.py
[          ok] maximumNumberOfStringPairs_2bcc48/sol_0.py
[          ok] maximumNumberOfStringPairs_346127/sol_0.py
[          ok] maximumNumberOfStringPairs_583060/sol_0.py
[          ok] maximumNumberOfStringPairs_6cf1d5/sol_0.py
[          ok] maximumNumberOfStringPairs_d5cf2e/sol_0.py
[          ok] maximumNumberOfStringPairs_ddea45/sol_0.py
[          ok] maximumOddBinaryNumber_0087fc/sol_0.py
[          ok] maximumOddBinaryNumber_12cf00/sol_0.py
[          ok] maximumOddBinaryNumber_4e2f0f/sol_0.py
[          ok] maximumOddBinaryNumber_539e99/sol_0.py
[          ok] maximumOddBinaryNumber_a1b30c/sol_0.py
[          ok] maximumOddBinaryNumber_fb1216/sol_0.py
[          ok] maximumTripletValue_2933ae/sol_0.py
[          ok] maximumTripletValue_4deed8/sol_0.py
[          ok] maximumTripletValue_54862b/sol_0.py
[          ok] maximumTripletValue_6fd43a/sol_0.py
[          ok] maximumTripletValue_7dafc8/sol_0.py
[          ok] maximumTripletValue_c28dfa/sol_0.py
[          ok] minAbsoluteDifference_aed0df/sol_0.py
[          ok] minChanges_254d8c/sol_0.py
[          ok] minChanges_39e1ad/sol_0.py
[          ok] minChanges_3bc303/sol_0.py
[          ok] minChanges_4bd90c/sol_0.py
[          ok] minChanges_bc7505/sol_0.py
[          ok] minChanges_d61786/sol_0.py
[          ok] minCost_32d0f4/sol_0.py
[          ok] minGroupsForValidAssignment_2dbabe/sol_0.py
[          ok] minGroupsForValidAssignment_4f9fe7/sol_0.py
[          ok] minGroupsForValidAssignment_9c5d26/sol_0.py
[          ok] minGroupsForValidAssignment_ad71ae/sol_0.py
[          ok] minGroupsForValidAssignment_d97ad1/sol_0.py
[          ok] minGroupsForValidAssignment_e66aa8/sol_0.py
[          ok] minLengthAfterRemovals_528b97/sol_0.py
[          ok] minLengthAfterRemovals_81d1f8/sol_0.py
[          ok] minLengthAfterRemovals_a7a6cc/sol_0.py
[          ok] minLengthAfterRemovals_aea902/sol_0.py
[          ok] minLengthAfterRemovals_d02c11/sol_0.py
[          ok] minLengthAfterRemovals_d54468/sol_0.py
[          ok] minLength_07f219/sol_0.py
[          ok] minLength_1acdcf/sol_0.py
[          ok] minLength_1f3772/sol_0.py
[          ok] minLength_2250cc/sol_0.py
[          ok] minLength_4f535a/sol_0.py
[          ok] minOperations_23ce01/sol_0.py
[          ok] minOperations_336025/sol_0.py
[          ok] minOperations_33c442/sol_0.py
[          ok] minOperations_375bd4/sol_0.py
[          ok] minOperations_37f28a/sol_0.py
[compile_fail] minOperations_622b2b/sol_0.py  -- Application type mismatch: The argument | ans | has type | ℚ | but is expected to have type
[          ok] minOperations_6ccdcc/sol_0.py
[          ok] minOperations_70f740/sol_0.py
[          ok] minOperations_7d6f58/sol_0.py
[compile_fail] minOperations_bfad79/sol_0.py  -- Application type mismatch: The argument | nums | has type | List ℤ | but is expected to have type
[          ok] minOperations_df055a/sol_0.py
[          ok] minOperations_df96de/sol_0.py
[compile_fail] minOperations_e0c2cc/sol_0.py  -- Application type mismatch: The argument | p'_ret_1 | has type | ℤ × List ℤ × List ℤ | but is expected to have type
[          ok] minOperations_ed1e5d/sol_0.py
[          ok] minOperations_ef2e9f/sol_0.py
[          ok] minOperations_f39e90/sol_0.py
[          ok] minOperations_f3c8fa/sol_0.py
[          ok] minOperations_f46fc2/sol_0.py
[          ok] minOperations_f81d3d/sol_0.py
[          ok] minOperations_fe9ca0/sol_0.py
[          ok] minSum_1ab6f2/sol_0.py
[          ok] minSum_44704a/sol_0.py
[          ok] minSum_47570f/sol_0.py
[          ok] minSum_b6ceaa/sol_0.py
[          ok] minSum_c11ba9/sol_0.py
[          ok] minSum_f908a7/sol_0.py
[          ok] minimizeConcatenatedLength_627d92/sol_0.py
[          ok] minimizeConcatenatedLength_6f3d72/sol_0.py
[          ok] minimizeConcatenatedLength_bd58eb/sol_0.py
[          ok] minimizedStringLength_eb0bab/sol_0.py
[          ok] minimizedStringLength_f328ef/sol_0.py
[compile_fail] minimumBeautifulSubstrings_19ecd6/sol_0.py  -- typeclass instance problem is stuck | Hashable ?m.9 | Note: Lean will not try to resolve this typeclass instance problem because the type argument to `Hashable` is a metavariable. This argument must be fully determined before Lean will try to resolve the typeclass.
[          ok] minimumBeautifulSubstrings_e62389/sol_0.py
[          ok] minimumBeautifulSubstrings_e8e3d4/sol_0.py
[          ok] minimumCoins_3f31a6/sol_0.py
[          ok] minimumCoins_4563ba/sol_0.py
[          ok] minimumCoins_55cb53/sol_0.py
[          ok] minimumCoins_5b1ce1/sol_0.py
[          ok] minimumCoins_e8022d/sol_0.py
[          ok] minimumCoins_e9a3ed/sol_0.py
[          ok] minimumCost_133158/sol_0.py
[          ok] minimumCost_452dc9/sol_0.py
[          ok] minimumCost_5857bf/sol_0.py
[          ok] minimumCost_aec190/sol_0.py
[          ok] minimumCost_b17559/sol_0.py
[          ok] minimumCost_c92108/sol_0.py
[          ok] minimumIndex_5ae6e8/sol_0.py
[          ok] minimumIndex_6c51c6/sol_0.py
[          ok] minimumIndex_84ec6b/sol_0.py
[          ok] minimumIndex_8931be/sol_0.py
[          ok] minimumIndex_b95e50/sol_0.py
[          ok] minimumIndex_c04033/sol_0.py
[          ok] minimumOperations_25593f/sol_0.py
[          ok] minimumOperations_31c202/sol_0.py
[          ok] minimumOperations_5807d2/sol_0.py
[          ok] minimumOperations_6eec82/sol_0.py
[          ok] minimumOperations_cbf95f/sol_0.py
[          ok] minimumOperations_ce5c69/sol_0.py
[          ok] minimumPossibleSum_35db1b/sol_0.py
[          ok] minimumPossibleSum_72190b/sol_0.py
[          ok] minimumPossibleSum_d14df7/sol_0.py
[          ok] minimumPossibleSum_d95f7a/sol_0.py
[          ok] minimumPossibleSum_e041aa/sol_0.py
[          ok] minimumPossibleSum_e67244/sol_0.py
[          ok] minimumRightShifts_68bc11/sol_0.py
[          ok] minimumRightShifts_69ba4c/sol_0.py
[          ok] minimumRightShifts_7106b0/sol_0.py
[          ok] minimumRightShifts_9aa70d/sol_0.py
[          ok] minimumRightShifts_f229b2/sol_0.py
[          ok] minimumRightShifts_fe500b/sol_0.py
[          ok] minimumSeconds_02b659/sol_0.py
[          ok] minimumSeconds_4e535b/sol_0.py
[          ok] minimumSeconds_672215/sol_0.py
[          ok] minimumSeconds_75e265/sol_0.py
[          ok] minimumSeconds_9dc017/sol_0.py
[          ok] minimumSeconds_f94719/sol_0.py
[          ok] minimumSteps_03a772/sol_0.py
[          ok] minimumSteps_567527/sol_0.py
[          ok] minimumSteps_87ab68/sol_0.py
[          ok] minimumSteps_93349d/sol_0.py
[          ok] minimumSteps_9692bb/sol_0.py
[          ok] minimumSteps_fbc0f4/sol_0.py
[          ok] minimumSum_02f82c/sol_0.py
[          ok] minimumSum_24c3ca/sol_0.py
[          ok] minimumSum_2ee421/sol_0.py
[          ok] minimumSum_399976/sol_0.py
[          ok] minimumSum_7ab08d/sol_0.py
[          ok] minimumSum_7ba39d/sol_0.py
[          ok] minimumSum_a5d66a/sol_0.py
[          ok] minimumSum_a6e190/sol_0.py
[          ok] minimumSum_ccbfa3/sol_0.py
[          ok] minimumSum_dd7aee/sol_0.py
[          ok] minimumSum_e7bedd/sol_0.py
[          ok] minimumSum_ec8570/sol_0.py
[          ok] numberOfEmployeesWhoMetTarget_26f7d1/sol_0.py
[          ok] numberOfEmployeesWhoMetTarget_58fbe9/sol_0.py
[          ok] numberOfEmployeesWhoMetTarget_7c2067/sol_0.py
[          ok] numberOfEmployeesWhoMetTarget_dd8ca3/sol_0.py
[          ok] numberOfEmployeesWhoMetTarget_f83f10/sol_0.py
[          ok] numberOfEmployeesWhoMetTarget_faf55c/sol_0.py
[          ok] numberOfGoodSubarraySplits_5fae18/sol_0.py
[          ok] numberOfGoodSubarraySplits_9e8ba3/sol_0.py
[          ok] numberOfGoodSubarraySplits_af6436/sol_0.py
[          ok] numberOfGoodSubarraySplits_cb15db/sol_0.py
[          ok] numberOfGoodSubarraySplits_f49803/sol_0.py
[          ok] numberOfGoodSubarraySplits_fe5e2f/sol_0.py
[          ok] numberOfPoints_392594/sol_0.py
[          ok] numberOfPoints_b138fa/sol_0.py
[          ok] numberOfPoints_bcffa3/sol_0.py
[          ok] numberOfPoints_cc4bce/sol_0.py
[          ok] numberOfPoints_cff13a/sol_0.py
[          ok] numberOfPoints_f73538/sol_0.py
[          ok] relocateMarbles_009213/sol_0.py
[          ok] relocateMarbles_151bbe/sol_0.py
[          ok] relocateMarbles_18b487/sol_0.py
[          ok] relocateMarbles_3be9e8/sol_0.py
[          ok] relocateMarbles_799368/sol_0.py
[          ok] relocateMarbles_84251f/sol_0.py
[          ok] removeTrailingZeros_0bcfcf/sol_0.py
[          ok] removeTrailingZeros_3f7f4a/sol_0.py
[          ok] removeTrailingZeros_4cdf1d/sol_0.py
[          ok] removeTrailingZeros_627f19/sol_0.py
[          ok] removeTrailingZeros_ef7ca9/sol_0.py
[          ok] removeTrailingZeros_fd7c04/sol_0.py
[          ok] semiOrderedPermutation_4625f1/sol_0.py
[          ok] semiOrderedPermutation_a197f0/sol_0.py
[          ok] semiOrderedPermutation_c0a152/sol_0.py
[          ok] semiOrderedPermutation_c3ed31/sol_0.py
[          ok] semiOrderedPermutation_c43c48/sol_0.py
[          ok] semiOrderedPermutation_ee4849/sol_0.py
[          ok] shortestBeautifulSubstring_4ace5f/sol_0.py
[          ok] shortestBeautifulSubstring_6bfc4e/sol_0.py
[          ok] shortestBeautifulSubstring_7e88f6/sol_0.py
[          ok] shortestBeautifulSubstring_cc6e15/sol_0.py
[          ok] shortestBeautifulSubstring_d3019b/sol_0.py
[          ok] shortestBeautifulSubstring_f13c3d/sol_0.py
[          ok] smallestString_00ec14/sol_0.py
[          ok] smallestString_1b561b/sol_0.py
[          ok] smallestString_2b5c99/sol_0.py
[          ok] smallestString_57344e/sol_0.py
[          ok] smallestString_bd4a10/sol_0.py
[          ok] smallestString_da18e1/sol_0.py
[          ok] sortVowels_0108f5/sol_0.py
[          ok] sortVowels_106f01/sol_0.py
[          ok] sortVowels_42b3e2/sol_0.py
[          ok] sortVowels_973fbf/sol_0.py
[          ok] sortVowels_a6eca1/sol_0.py
[          ok] sortVowels_a963fe/sol_0.py
[          ok] splitWordsBySeparator_10d609/sol_0.py
[          ok] splitWordsBySeparator_32dbb5/sol_0.py
[          ok] splitWordsBySeparator_60a7cf/sol_0.py
[          ok] splitWordsBySeparator_ad0777/sol_0.py
[          ok] splitWordsBySeparator_b8a826/sol_0.py
[          ok] splitWordsBySeparator_c944e5/sol_0.py
[          ok] sumCounts_106060/sol_0.py
[          ok] sumCounts_b582c9/sol_0.py
[          ok] sumCounts_be1ce4/sol_0.py
[          ok] sumCounts_cfe21d/sol_0.py
[          ok] sumCounts_dc83ae/sol_0.py
[          ok] sumCounts_e313bb/sol_0.py
[          ok] sumIndicesWithKSetBits_107e4b/sol_0.py
[          ok] sumIndicesWithKSetBits_34eaf6/sol_0.py
[          ok] sumIndicesWithKSetBits_9ebd20/sol_0.py
[          ok] sumIndicesWithKSetBits_b2a788/sol_0.py
[          ok] sumIndicesWithKSetBits_bf3807/sol_0.py
[          ok] sumIndicesWithKSetBits_fc6852/sol_0.py

[*] Conversion: 471 ok, 4 compile_fail, 1 convert_fail, 0 skipped (out-of-scope libs)
[*] Most common failures:
        1x  Unsupported syntax category for Subscript node
        1x  Application type mismatch: The argument | ans | has type | ℚ | but is expected to have type
        1x  Application type mismatch: The argument | nums | has type | List ℤ | but is expected to have type
        1x  Application type mismatch: The argument | p'_ret_1 | has type | ℤ × List ℤ × List ℤ | but is expected to have type
        1x  typeclass instance problem is stuck | Hashable ?m.9 | Note: Lean will not try to resolve this typeclass instance problem because the type argument to `Hashable` is a metavariable. This argument must be fully determined before Lean will try to resolve the typeclass.
[*] Summary written to cp_harness/dataset_livecodebench/convert_summary.json

>>> [3/4] Evaluate (run Lean vs Python on test cases)
[*] Native: compiling 456 harness(es) in ONE build (Mathlib once, -j18)…
[*] compile finished in 143s — 456 linked, 0 compile_fail (chunk=500, 1 binaries)
[*] running 456 native harness(es) across 6 process(es)…
[1/456] alternatingSubarray_4ba6e2/sol_0: 25/25
[2/456] alternatingSubarray_7650b8/sol_0: 25/25
[3/456] accountBalanceAfterPurchase_c887a8/sol_0: 25/25
[4/456] alternatingSubarray_84f8dd/sol_0: 25/25
[5/456] alternatingSubarray_459fb7/sol_0: 25/25
[6/456] alternatingSubarray_242f9c/sol_0: 25/25
[7/456] beautifulSubstrings_3f3ac5/sol_0: 25/25
[8/456] alternatingSubarray_f0b0a4/sol_0: 25/25
[9/456] beautifulSubstrings_b6cfd9/sol_0: 25/25
[10/456] beautifulSubstrings_690f69/sol_0: 25/25
[11/456] beautifulSubstrings_a13b26/sol_0: 25/25
[12/456] beautifulSubstrings_86fa74/sol_0: 25/25
[13/456] buyChoco_1776d2/sol_0: 25/25
[14/456] buyChoco_69e1d8/sol_0: 25/25
[15/456] buyChoco_b37ff3/sol_0: 25/25
[16/456] buyChoco_a413cb/sol_0: 25/25
[17/456] buyChoco_b56354/sol_0: 25/25
[18/456] beautifulSubstrings_ff2536/sol_0: 25/25
[19/456] canBeEqual_1b3ebd/sol_0: 25/25
[20/456] buyChoco_ec9c98/sol_0: 25/25
[21/456] canBeEqual_bde70a/sol_0: 25/25
[22/456] canBeEqual_22abe1/sol_0: 25/25
[23/456] canBeEqual_18586e/sol_0: 25/25
[24/456] canBeEqual_a634b9/sol_0: 25/25
[25/456] canMakeSubsequence_08f0fe/sol_0: 25/25
[26/456] canBeEqual_f74731/sol_0: 20/20
[27/456] canMakeSubsequence_6e786c/sol_0: 25/25
[28/456] canMakeSubsequence_4b18a6/sol_0: 25/25
[29/456] canMakeSubsequence_40ee64/sol_0: 25/25
